timestamp,symbol,action,product,result,errors,warnings
2026-04-28 11:44:22,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 11:44:24,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (408.0 > 404.5) — locking in profit
2026-04-28 11:44:28,TORNTPOWER,EXIT,CNC,FAILED,"BLOCKED: Cannot short-sell in CNC. Holdings: 0, Order qty: 28",WARNING: No stop-loss specified. Applied default 2% SL.; WARNING: No target specified. Applied default 3% target.
2026-04-28 11:44:30,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1742.0 > 1734.0) — locking in profit
2026-04-28 11:44:34,MAHABANK,EXIT,CNC,FAILED,"BLOCKED: Cannot short-sell in CNC. Holdings: 0, Order qty: 1200",WARNING: No stop-loss specified. Applied default 2% SL.; WARNING: No target specified. Applied default 3% target.
2026-04-28 11:44:36,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 11:44:38,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1420.0 > 1412.94) — locking in profit
2026-04-28 11:44:40,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 11:44:44,TORNTPOWER,EXIT,CNC,FAILED,"BLOCKED: Cannot short-sell in CNC. Holdings: 0, Order qty: 28",WARNING: No stop-loss specified. Applied default 2% SL.; WARNING: No target specified. Applied default 3% target.
2026-04-28 11:44:46,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1740.0 > 1734.0) — locking in profit
2026-04-28 12:13:17,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 12:13:19,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 12:13:21,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 12:13:23,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1740.0 > 1734.0) — locking in profit
2026-04-28 12:13:29,COALINDIA,BUY,CNC,PASSED,,
2026-04-28 12:13:33,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 12:13:35,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1420.0 > 1412.94) — locking in profit
2026-04-28 12:13:37,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 12:13:39,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1740.0 > 1734.0) — locking in profit
2026-04-28 12:13:41,POWERGRID,MODIFY,CNC,PASSED,,
2026-04-28 12:13:43,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1035.0 > 984.0) — locking in profit
2026-04-28 12:13:45,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1420.0 > 1412.94) — locking in profit
2026-04-28 12:13:47,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1742.0 > 1734.0) — locking in profit
2026-04-28 12:43:28,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 12:43:30,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 12:43:32,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1748.0 > 1734.0) — locking in profit
2026-04-28 12:43:34,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 12:43:36,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 12:43:38,COALINDIA,MODIFY,CNC,PASSED,,
2026-04-28 12:43:40,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 12:43:42,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (407.0 > 404.5) — locking in profit
2026-04-28 12:43:44,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1745.0 > 1734.0) — locking in profit
2026-04-28 13:12:34,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1030.0 > 984.0) — locking in profit
2026-04-28 13:12:36,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 13:12:38,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1745.0 > 1734.0) — locking in profit
2026-04-28 13:12:40,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1030.0 > 984.0) — locking in profit
2026-04-28 13:12:42,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 13:12:44,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 13:12:46,COALINDIA,MODIFY,CNC,PASSED,,
